Type,Form,Sub-Category,Brand,Product Name,Price,Mo. Sales,Mo. Revenue,Rank,D. Sales,Date First Available,Reviews,Rating,ASIN,Link,Date Year,ASIN2,len,Mo_Revenue_Mln,Joints,Body,Digestive,Skin,Respiratore,Inner
Dogs,Chews,Probiotics,Ample,ample nutrition complete dog prebiotic + probiotic for dogs 60ct chewable dog probiotic cheesy bacon tablets,23.95,120,2874,20666,6,4/14/2015,290,44,B00W44YZS8,https://www.amazon.com/Probiotics-Dogs-Prebiotic-Constipation-Allergies/dp/B00W44YZS8/ref=zg_bs_3024222011_72?_encoding=UTF8&psc=1&refRID=2TJFRW1HKSP6PRXS5R8H,2015,B00W44YZS8,14,0.0029,,,Digestive,,,
Dogs,Chews,Multivitamins,NaturVet,naturvet all-in-one dog supplement - for joint support digestion skin coat care  dog vitamins minerals omega-3 6 9  wheat-free supplements for dogs,20.99,3873,81294,1181,139,9/19/2014,6004,45,B00O6FIOEY,https://www.amazon.com/NaturVet-All-One-Essential-Digestion/dp/B00O6FIOEY/ref=zg_bs_2975397011_25?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2014,B00O6FIOEY,17,0.0813,Joint,,Digestive,Skin,,
Cats&Dogs,Capsules,Probiotics,Nutramax Laboratories,nutramax proviable health supplement for cats and dogs,17.99,4034,72572,1101,147,5/12/2011,6415,48,B0050JM626,https://www.amazon.com/Nutramax-Proviable-Capsules-Cats-Count/dp/B0050JM626/ref=zg_bs_2975397011_22?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2011,B0050JM626,19,0.0726,,,,,,
Dogs,Powder,Probiotics,NUSENTIA,nusentia probiotic miracle dog probiotics for dogs (up to 360 servings),39.99,1628,65104,2957,63,10/3/2009,3106,45,B002RGU0AA,https://www.amazon.com/NUSENTIA-Probiotic-Miracle-Probiotics-Servings/dp/B002RGU0AA/ref=zg_bs_2975397011_71?_encoding=UTF8&psc=1&refRID=R6NPE5T9F60K74NPS2AY,2009,B002RGU0AA,14,0.0651,,,Digestive,,,
Dogs,Powder,Probiotics,Purina Fortiflora,purina fortiflora dog nutritional supplement (2 pack) 30 sachets each,61.98,926,57393,6704,27,11/7/2017,553,48,B0779SDQCG,https://www.amazon.com/Purina-Fortiflora-Nutritional-Supplement-Sachets/dp/B0779SDQCG/ref=zg_bs_3024222011_30?_encoding=UTF8&psc=1&refRID=J6X12FAA51FQK6Z3EEX8,2017,B0779SDQCG,14,0.0574,,,,,,Inner
Dogs,Chews,Multivitamins,Coco and Luna,coco and luna milk thistle for dogs liver support for dogs detox hepatic support promotes liver healthy function for pets vit b1 b2 b6 b12,24.9,2072,51593,2491,69,11/27/2020,869,46,B08P7XPJNM,https://www.amazon.com/dp/B08P7XPJNM,2020,B08P7XPJNM,17,0.0516,,,,,,Inner
Dogs,Chews,Antioxidants,Coco and Luna,cranberry for dogs - urinary tract support bladder infections bladder stones and dog incontinence,19.9,2564,51024,1845,97,1/16/2018,4253,46,B0792G86XC,https://www.amazon.com/Cranberry-Antioxidants-Infections-Incontinence-Antibacterial/dp/B0792G86XC/ref=zg_bs_2975397011_37?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2018,B0792G86XC,16,0.051,,,,,,Inner
Dogs,Chews,Probiotics,Profivex,profivex probiotics for dogs soft chews daily chewable pet digestive treats all-natural 5 strain dog probiotics with prebiotics & added fiber from sweet potato - by vetnique labs (60-count),,270,0,12284,13,7/13/2019,398,44,B07Q5VFV3R,https://www.amazon.com/Profivex-Probiotics-Soft-Chew-Treats/dp/B07Q5VFV3R/ref=zg_bs_3024222011_48?_encoding=UTF8&psc=1&refRID=J6X12FAA51FQK6Z3EEX8,2019,B07Q5VFV3R,14,0,,,Digestive,,,
Cats&Dogs,Fluid/Gel/Drops,Herbal Supplements,Animal Essentials,animal essentials liver defense for dogs & cats 1 fluid ounce - made in usa dandelion & milk thistle liver support,18.99,126,2393,20906,4,1/11/2005,224,44,B0002EOVO0,https://www.amazon.com/dp/B0002EOVO0,2005,B0002EOVO0,27,0.0024,,,,,,Inner
Dogs,Chews,Herbal Supplements,Coco and Luna,same for dogs - s-adenosyl-l-methionine same lq 225 promotes cognitive brain support and natural hepatic liver health,34.9,1460,50954,4075,48,11/15/2018,999,46,B07KKMFGQF,https://www.amazon.com/dp/B07KKMFGQF,2018,B07KKMFGQF,22,0.051,,Body,,,,Inner
Dogs,Chews,Antioxidants,FurFinds,chewable flea and tick treats for dogs - made in usa - natural flea and tick solution - bacon flavor,,970,0,15131,10,9/16/2020,647,4,B08MLPZL7M,https://www.amazon.com/Chewable-Flea-Tick-Treats-Dogs/dp/B08MLPZL7M/ref=zg_bs_3024217011_26?_encoding=UTF8&psc=1&refRID=P744C1FB69JQETB6DZ08,2020,B08MLPZL7M,16,0,,,,,,
Dogs,Capsules,Herbal Supplements,Apocaps | EverPup,apocaps cx apoptogen formula for dogs (90 capsules),59.95,371,22241,13895,11,12/11/2010,506,44,B002ZQ5OX0,https://www.amazon.com/Apocaps-CX-Apoptogen-90-capsules/dp/B002ZQ5OX0/ref=zg_bs_3024220011_36?_encoding=UTF8&psc=1&refRID=EY1GRVBRKJDM5T6J1GP8,2010,B002ZQ5OX0,22,0.0222,,,,,,
Dogs,Capsules,Fish Oil Supplements,Artulano,dog cranberry supplement for bladder control - helps with uti incontinence - dog uti treatment for urinary tract immune kidney support for dogs - 180 soft cranberry pills for dogs with duck flavor,15.95,896,14291,3966,47,1/13/2021 0:00,214,48,B08SWCFZVS,https://www.amazon.com/Dog-Cranberry-Supplement-Bladder-Control/dp/B08SWCFZVS/ref=zg_bs_3024219011_35?_encoding=UTF8&psc=1&refRID=ZMB7AY43R30EDD115TDV,2021,B08SWCFZVS,24,0.0143,,,,,,Inner
Cats,Fluid/Gel/Drops,Multivitamins,HomeoPet,homeopet uti plus urinary tract infection for cats 15ml,12.58,3663,46081,1991,90,8/9/2013 0:00,7174,43,B00EOOQCJG,https://www.amazon.com/HomeoPet-Plus-Urinary-Tract-Infection/dp/B00EOOQCJG/ref=zg_bs_3024166011_3?_encoding=UTF8&psc=1&refRID=16Q0DR83JKT4NZZ8AAVY,2013,B00EOOQCJG,17,0.0461,,,,,,Inner
Dogs,Fluid/Gel/Drops,Herbal Supplements,Azmira Holistic Animal Care,yucca intensive anti-inflammatory 2oz btl w/eyedropper,18.97,65,1233,48760,2,6/15/2006,375,41,B000CZ2NM6,https://www.amazon.com/Yucca-Intensive-Anti-Inflammatory-2oz-Eyedropper/dp/B000CZ2NM6/ref=zg_bs_3024220011_100?_encoding=UTF8&psc=1&refRID=PCD7ZS98Y9T3XDB1RXNN,2006,B000CZ2NM6,22,0.0012,Joint,Body,,,,
Cats&Dogs,Oil,Herbal Supplements,Bark Boy,bark boy - hemp oil for dogs and cats - made in usa - separation anxiety joint pain stress relief pains anti-inflammatory - omega 3 6 9-100% organic - calming drops,20,23,460,43704,0,10/3/2019,964,43,B07XP1H33M,https://www.amazon.com/dp/B07XP1H33M,2019,B07XP1H33M,27,0.0005,Joint,,,,,
Dogs,Chews,Fish Oil Supplements,Bark&Spark,bark&spark omega 3 for dogs - fish oil chews for dog shedding skin allergy itch relief hot spots treatment - joint health - skin and coat supplement - epa & dha fatty acids - salmon oil,19.71,1506,29683,2598,71,12/16/2020 0:00,40,49,B08QSK1CYF,https://www.amazon.com/Fish-Oil-Omega-Treats-Dogs/dp/B08QSK1CYF/ref=zg_bs_3024219011_26?_encoding=UTF8&psc=1&refRID=ZMB7AY43R30EDD115TDV,2020,B08QSK1CYF,24,0.0297,Joint,Body,,Skin,,
Cats,Fluid/Gel/Drops,Probiotics,Bayer Animal Health,endurosyn probiotic oral gel for cats 15 gm,18.44,13,240,69416,1,3/5/2020 0:00,8,5,B00M0NR02G,https://www.amazon.com/Bayer-Endurosyn-Feline-Oral-Pets/dp/B00M0NR02G/ref=zg_bs_3024167011_33?_encoding=UTF8&psc=1&refRID=ZM1G5KK3CS4DPR3MBKDE,2020,B00M0NR02G,14,0.0002,,,Digestive,,,
Cats&Dogs,Oil,Fish Oil Supplements,Bayer Animal Health,free form omega-3 fish oil liquid pump supplement for small dogs and cats 4 fluid ounces,27.54,94,2589,33233,3,4/9/2013 0:00,83,43,B00CA72X60,https://www.amazon.com/Bayer-Liquid-Omega-3-Supplement-liquid/dp/B00CA72X60/ref=zg_bs_3024164011_29?_encoding=UTF8&psc=1&refRID=APM4JCST79161Q71H026,2013,B00CA72X60,29,0.0026,,,,,,
Dogs,Oil,Fish Oil Supplements,Bayer Animal Health,free form snip tips omega-3 fish oil liquid supplement,13.76,1401,19278,4960,37,3/9/2011 0:00,936,46,B0056JHWBA,https://www.amazon.com/Bayer-Omega-3-Supplement-Small-count/dp/B0056JHWBA/ref=zg_bs_3024219011_46?_encoding=UTF8&psc=1&refRID=ZMB7AY43R30EDD115TDV,2011,B0056JHWBA,24,0.0193,,,,,,
Dogs,Fluid/Gel/Drops,Probiotics,Bayer Animal Health,endurosyn probiotic oral gel for dogs 32 gm,16.65,120,1998,26968,4,...,130,46,PHARMACEUT,https://www.amazon.com/PHARMACEUTICALS-Endurosyn-Digestive-Canine-Pets/dp/B004E326II/ref=zg_bs_3024222011_88?_encoding=UTF8&psc=1&refRID=2TJFRW1HKSP6PRXS5R8H,,B004E326II,14,0.002,,,Digestive,,,
Dogs,Fluid/Gel/Drops,Herbal Supplements,Pet Wellbeing,pet wellbeing - kidney support gold for dogs - natural support for canine kidney health (2 ounce),37.95,1195,45350,4956,37,2/12/2016,1431,45,B00S8N8VLG,https://www.amazon.com/Pet-Wellbeing-Kidney-Support-Natural/dp/B00S8N8VLG/ref=zg_bs_3024220011_13?_encoding=UTF8&psc=1&refRID=EY1GRVBRKJDM5T6J1GP8,2016,B00S8N8VLG,22,0.0454,,,,,,Inner
Dogs,Powder,Multivitamins,Dog Greens,dog greens- organic and wild harvested vitamin and mineral supplement for dogs - add to home made dog food raw food or kibble,34.95,1244,43478,4857,38,8/20/2013,886,44,B00ENS9XYY,https://www.amazon.com/Dog-Greens-Organic-Harvested-Supplement/dp/B00ENS9XYY/ref=zg_bs_3024221011_43?_encoding=UTF8&psc=1&refRID=4TKV9MJPQ1HKJWQ02QVV,2013,B00ENS9XYY,17,0.0435,,,,,,
Dogs,Chews,Misc,Beloved Pets,beloved pets flea and tick control treats for dogs - flea prevention soft chews - natural tick repellent supplement - made in usa - 140 ct bacon flavor,24.91,1398,34824,1913,94,7/8/2020 0:00,2026,39,B087WJVKCJ,https://www.amazon.com/Beloved-Pets-Flea-Control-Treats/dp/B087WJVKCJ/ref=zg_bs_2975397011_39?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2020,B087WJVKCJ,4,0.0348,,,,,,
