form,function,month,revenue
Capsules,Joints,aug,30.01061879
Powder,Joints,aug,7.171821
Other,Joints,aug,0.280856
Gummy,Brain,aug,1.553811
Softgels,Brain,aug,10.820771083999999
Tablets,Brain,aug,2.084536
Capsules,Brain,aug,19.866846316666667
Powder,Brain,aug,4.208441
Other,Brain,aug,0.23633168
Gummy,Stress_Sleep,aug,4.49281
Softgels,Stress_Sleep,aug,0.803791
Tablets,Stress_Sleep,aug,3.4572017001269844
Capsules,Stress_Sleep,aug,15.652729033333332
Powder,Stress_Sleep,aug,4.236715
Other,Stress_Sleep,aug,0.17387867999999998
Gummy,Energy,aug,5.198989738888889
Softgels,Energy,aug,4.581206
Tablets,Energy,aug,7.2543007910714286
Capsules,Energy,aug,26.50011646
Powder,Energy,aug,15.595952696666666
Other,Energy,aug,0.38771168
Gummy,Body,aug,7.204280773174603
Softgels,Body,aug,27.967680505227275
Tablets,Body,aug,10.20834409449567
Capsules,Body,aug,63.815869384577205
Powder,Body,aug,14.040658535
Other,Body,aug,0.5338107128571428
Gummy,Weight_Mngm,aug,5.04298355
Softgels,Weight_Mngm,aug,2.206374
Tablets,Weight_Mngm,aug,3.7261184193888894
Capsules,Weight_Mngm,aug,24.658064517959595
Powder,Weight_Mngm,aug,5.013912005
Other,Weight_Mngm,aug,0.504025
Gummy,Fitness,aug,1.546141
Softgels,Fitness,aug,2.995022
Tablets,Fitness,aug,2.724547909090909
Capsules,Fitness,aug,9.702833733333334
Powder,Fitness,aug,15.521800393333335
Other,Fitness,aug,0.254116
Gummy,Beauty,sep,4.811268
Softgels,Beauty,sep,3.458271
Tablets,Beauty,sep,3.603236
Capsules,Beauty,sep,15.690502
Powder,Beauty,sep,12.098664
Other,Beauty,sep,0.126014
Gummy,Immune,sep,15.587386
Softgels,Immune,sep,8.717543
Tablets,Immune,sep,7.839184
Capsules,Immune,sep,36.683956
Powder,Immune,sep,7.431436
Other,Immune,sep,0.221393
Gummy,Digest,sep,6.67781676
Softgels,Digest,sep,2.002528
Tablets,Digest,sep,4.404098820000001
Capsules,Digest,sep,40.40868094415152
Powder,Digest,sep,9.040994719999999
Other,Digest,sep,0.109437
Gummy,Joints,sep,4.713091
Softgels,Joints,sep,8.697041
Tablets,Joints,sep,9.844508
Capsules,Joints,sep,29.363556
Powder,Joints,sep,13.976821
Other,Joints,sep,0.278897
Gummy,Brain,sep,1.809438
Softgels,Brain,sep,9.34624
Tablets,Brain,sep,2.655571
Capsules,Brain,sep,20.712857
Powder,Brain,sep,5.484961
Other,Brain,sep,0.161169
Gummy,Stress_Sleep,sep,4.244841
Softgels,Stress_Sleep,sep,1.100875
Tablets,Stress_Sleep,sep,3.814928
Capsules,Stress_Sleep,sep,15.78243197111111
Powder,Stress_Sleep,sep,4.729578
Other,Stress_Sleep,sep,0.125896
Gummy,Energy,sep,4.866077
Softgels,Energy,sep,3.627896
Tablets,Energy,sep,6.606826
Capsules,Energy,sep,28.994445
Powder,Energy,sep,13.377064028444444
Other,Energy,sep,0.353755
Gummy,Body,sep,6.28742
Softgels,Body,sep,23.990550125
Tablets,Body,sep,10.186648
Capsules,Body,sep,61.407248
Powder,Body,sep,15.085001
Other,Body,sep,0.460046
Gummy,Weight_Mngm,sep,4.505063
Softgels,Weight_Mngm,sep,2.05412
Tablets,Weight_Mngm,sep,4.47275
Capsules,Weight_Mngm,sep,23.103156425
Powder,Weight_Mngm,sep,5.513894984
Other,Weight_Mngm,sep,0.348833
Gummy,Fitness,sep,1.308378
Softgels,Fitness,sep,2.355801
Tablets,Fitness,sep,3.133575
Capsules,Fitness,sep,9.652897
Powder,Fitness,sep,14.044558984000002
Other,Fitness,sep,0.11281
Gummy,Beauty,oct,6.953426426857144
Softgels,Beauty,oct,3.944997379819625
Tablets,Beauty,oct,4.006913963333333
Capsules,Beauty,oct,14.385699060144299
Powder,Beauty,oct,12.758153443777054
Other,Beauty,oct,0.08405815
Gummy,Immune,oct,17.177830707361473
Softgels,Immune,oct,8.453490726320346
Tablets,Immune,oct,7.5956096420075765
Capsules,Immune,oct,35.21118475856421
Powder,Immune,oct,7.458605501493506
Other,Immune,oct,0.21225905833333336
Gummy,Digest,oct,6.542238330655122
Softgels,Digest,oct,2.505234685555555
Tablets,Digest,oct,6.944582204484848
Capsules,Digest,oct,39.501245189183265
Powder,Digest,oct,9.44284047417821
Other,Digest,oct,0.12434558599999998
Gummy,Joints,oct,4.941938359375902
Softgels,Joints,oct,7.411415880800866
Tablets,Joints,oct,10.065010155454546
Capsules,Joints,oct,29.303202879385278
Powder,Joints,oct,14.122073853605698
Other,Joints,oct,0.12505798333333334
Gummy,Brain,oct,1.5942814441883117
Softgels,Brain,oct,9.654003263541124
Tablets,Brain,oct,2.200559826666667
Capsules,Brain,oct,18.16791966211688
